Brand,Rating,NumRatings,NumReviews,Price,RAM,ROM,Display,Processor,Camera,Warranty
OnePlus,4.4,105,10,19999,6.0 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Manufacturer Warranty
REDMI,4.4,11806,763,12999,6 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Lenovo,4.3,5315,361,11749,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
realme,4.4,33463,2641,28999,6 GB RAM,128 GB ROM,29.21 cm (11.5 inch) Full HD Display,Mediatek G99,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
OnePlus,4.4,105,10,24999,8.0 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G100,5 MP Primary Camera | 5 MP Front,1 Year Manufacturer Warranty
REDMI,4.4,11806,763,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
REDMI,4.4,11806,763,11999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
REDMI,4.4,11806,763,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Lenovo,4.5,3700,403,18999,8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
Lenovo,4.3,5315,361,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
OnePlus,4.5,20770,1322,17999,8 GB RAM,128 GB ROM,28.83 cm (11.35 inch) Display,Mediatek Helio G99,8 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
REDMI,4.4,621,50,15999,6.0 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 680,8 Megapixels MP Primary Camera | 5 MP Front,1 Year Brand Warranty
REDMI,4.4,967,76,20999,6.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Quad HD Display,Snapdragon 7s Gen 2,8.0 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
realme,4.4,2954,282,20999,4 GB RAM,128 GB ROM,27.81 cm (10.95 inch) 2K Display,Helio G99 Chipset,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
realme,4.4,6379,516,20999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) 2K Display,Helio G99 Chipset,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Samsung,4.5,31778,1196,18460,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
OnePlus,4.5,20770,1322,21999,8 GB RAM,256 GB ROM,28.83 cm (11.35 inch) Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
Samsung,4.5,31778,1196,17999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8.0 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
Samsung,4.5,31778,1196,24999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 695,8.0 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
Samsung,4.6,18725,823,32739,8 GB RAM,128 GB ROM,31.5 cm (12.4 Inch) WQXGA Display,Exynos 1380,8.0 MP Primary Camera | 12 MP Front,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Batteries from the Date of Purchase
REDMI,4.4,4481,326,23999,8.0 GB RAM,128 GB ROM,30.73 cm (12.1 inch) Quad HD Display,Snapdragon 7s Gen 2,8.0 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
Samsung,4.5,31778,1196,16999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,QUALCOMM SM6375,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
REDMI,4.4,11806,763,11999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Samsung,4.5,31778,1196,17570,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) WQXGA Display,QUALCOMM SM6375,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
REDMI,4.4,621,50,17999,8.0 GB RAM,256 GB ROM,27.94 cm (11.0 inch) WQXGA Display,Snapdragon 680,8 Megapixels MP Primary Camera | 5 MP Front,1 Year Brand Warranty
REDMI,4.3,944,51,10999,4.0 GB RAM,128 GB ROM,22.1 cm (8.7 Inch) HD Display,MediaTek Helio G85,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Lenovo,4.3,5315,361,14999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.5,3700,403,18999,8.0 GB RAM,128 GB ROM,29.21 cm (11.5 inch) 2K Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Warranty from Lenovo
realme,4.4,33463,2641,28999,6 GB RAM,128 GB ROM,29.21 cm (11.5 inch) Full HD Display,Mediatek G99,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
realme,4.4,6379,516,24999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) 2K Display,Helio G99 Chipset,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
Lenovo,4.3,5315,361,13999,4 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,Mediatek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Comprehensive Warranty
Lenovo,4.4,765,39,16999,8 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Display,MediaTek Helio G88,13 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty from the Date of Purchase
realme,4.4,33463,2641,32999,8 GB RAM,256 GB ROM,29.21 cm (11.5 inch) Full HD Display,Mediatek G99,8 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
OnePlus,4.5,20770,1322,19999,8 GB RAM,128 GB ROM,28.83 cm (11.35 inch) Display,Mediatek Helio G99,8.0 MP Primary Camera | 8 MP Front,1 Year Manufacturer Warranty
REDMI,4.4,4481,326,25999,8.0 GB RAM,256 GB ROM,30.73 cm (12.1 inch) Quad HD Display,Snapdragon 7s Gen 2,8.0 MP Primary Camera | 8 MP Front,1 Year Domestic Warranty
Baatu,4.1,156,21,8199,4 GB RAM,64 GB ROM,25.65 cm (10.1 inch) HD Display,MediaTek,8 MP Primary Camera | 5 MP Front,Apple One (1) Year Limited Warranty
REDMI,4.4,11806,763,12999,6 GB RAM,128 GB ROM,27.94 cm (11.0 inch) Full HD Display,Snapdragon 680,8.0 MP Primary Camera | 5 MP Front,1 Year Domestic Warranty
I,3.3,16,2,9027,4 GB RAM,64 GB ROM,25.4 cm (10 inch) HD Display,MTK6757 Octa core,13 MP Primary Camera | 8 MP Front,1 Year Warranty Against Manufacturing Defects
